id,full_name,url,stars,forks
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,58417,13807
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15702,9910
66424871,pytorch/examples,https://api.github.com/repos/pytorch/examples,17830,8367
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20173,8154
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22409,7979
101138315,d2l-ai/d2l-zh,https://api.github.com/repos/d2l-ai/d2l-zh,30292,7179
84533158,yunjey/pytorch-tutorial,https://api.github.com/repos/yunjey/pytorch-tutorial,23051,7069
145670234,open-mmlab/mmdetection,https://api.github.com/repos/open-mmlab/mmdetection,18356,6693
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,25012,6671
188660663,CorentinJ/Real-Time-Voice-Cloning,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning,33590,6157
73328905,pytorch/vision,https://api.github.com/repos/pytorch/vision,10905,5635
22489033,lazyprogrammer/machine_learning_examples,https://api.github.com/repos/lazyprogrammer/machine_learning_examples,6567,5545
206660580,facebookresearch/detectron2,https://api.github.com/repos/facebookresearch/detectron2,19936,5430
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21992,5219
88612945,junyanz/pytorch-CycleGAN-and-pix2pix,https://api.github.com/repos/junyanz/pytorch-CycleGAN-and-pix2pix,16873,5092
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6561,4940
34275045,kaldi-asr/kaldi,https://api.github.com/repos/kaldi-asr/kaldi,11333,4889
171795571,ShusenTang/Dive-into-DL-PyTorch,https://api.github.com/repos/ShusenTang/Dive-into-DL-PyTorch,14535,4685
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5829,4671
101782647,pytorch/fairseq,https://api.github.com/repos/pytorch/fairseq,16112,4188
21467110,explosion/spaCy,https://api.github.com/repos/explosion/spaCy,22479,3715
190427007,rasbt/deeplearning-models,https://api.github.com/repos/rasbt/deeplearning-models,14808,3675
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11228,3646
92265140,chenyuntc/pytorch-book,https://api.github.com/repos/chenyuntc/pytorch-book,9719,3444
